"representante","situacao_rep","cod_rep","modelo_venda"
Representante 203,A,"1197",Canal
Representante 204,A,"26032",Canal
Representante 205,A,"181203",Canal
Representante 206,A,"181204",Canal
Representante 207,A,"181205",Canal
Representante 208,A,"181206",Canal
Representante 209,A,"24270",Canal
Representante 210,A,"1529",Direto
Representante 211,A,"181207",Canal
Representante 212,A,"5108",Direto
Representante 213,A,"181208",Canal
Representante 214,A,"181209",Parceiros
Representante 215,A,"26858",Parceiros
Representante 216,A,"181210",Parceiros
Representante 217,A,"18746",Canal
Representante 218,A,"1741",Canal
Representante 219,A,"1198",Canal
Representante 220,A,"1199",Canal
Representante 221,A,"1200",Canal
Representante 222,A,"20126",Canal
Representante 223,A,"1511",Direto
Representante 224,A,"1511",Direto
Representante 225,A,"20627",Canal
Representante 226,A,"1742",Canal
Representante 227,A,"1743",Canal
Representante 228,I,"21131",Canal
Representante 229,A,"21264",Canal
Representante 230,A,"21764",Parceiros
Representante 231,A,"22061",Canal
Representante 232,A,"22062",Canal
Representante 233,A,"1514",Direto
Representante 234,A,"1514",Direto
Representante 235,A,"1514",Direto
Representante 236,A,"22262",Canal
Representante 237,A,"22263",Canal
Representante 238,A,"22672",Canal
Representante 239,A,"22684",Canal
Representante 240,I,"23950",Canal
Representante 241,A,"1740",Canal
Representante 242,A,"19195",Direto
Representante 243,A,"19468",Canal
Representante 244,I,"19802",Canal
Representante 245,A,"19818",Canal
Representante 246,A,"19979",Canal
Representante 247,A,"19983",Canal
Representante 248,A,"20141",Canal
Representante 249,A,"20450",Canal
Representante 250,A,"20470",Canal
Representante 251,A,"19534",Canal
Representante 252,A,"5120",Direto
Representante 253,A,"20908",Canal
Representante 254,A,"21006",Canal
Representante 255,I,"21081",Canal
Representante 256,A,"21263",Canal
Representante 257,A,"21667",Canal
Representante 258,A,"21668",Canal
Representante 259,A,"21669",Canal
Representante 260,A,"21670",Canal
Representante 261,I,"21723",Canal
Representante 262,A,"21734",Canal
Representante 263,A,"22154",Canal
Representante 264,A,"22178",Canal
Representante 265,A,"9005",Canal
Representante 266,A,"1510",Direto
Representante 267,A,"1510",Direto
Representante 268,A,"1512",Parceiros
Representante 269,A,"20463",Canal
Representante 270,A,"20605",Canal
Representante 271,A,"20614",Canal
Representante 272,A,"20690",Canal
Representante 273,A,"20691",Canal
Representante 274,A,"20910",Canal
Representante 275,A,"20911",Canal
Representante 276,A,"181201",Canal
Representante 277,A,"20900",Canal
Representante 278,A,"21932",Canal
Representante 279,A,"21948",Canal
Representante 280,A,"21949",Canal
Representante 281,A,"21950",Parceiros
Representante 282,A,"22185",Canal
Representante 283,A,"22326",Canal
Representante 284,I,"19316",Canal
Representante 285,A,"22665",Canal
Representante 286,I,"22711",Canal
Representante 287,A,"1755",Canal
Representante 288,A,"23057",Canal
Representante 289,A,"23947",Canal
Representante 290,I,"21726",Canal
Representante 291,A,"22687",Canal
Representante 292,A,"23396",Direto
Representante 293,A,"1759",Canal
Representante 294,A,"24749",Canal
Representante 295,A,"4021",Canal
Representante 296,A,"4022",Canal
Representante 297,A,"4023",Canal
Representante 298,A,"4024",Canal
Representante 299,A,"4025",Canal
Representante 300,A,"4026",Canal
Representante 301,A,"4027",Canal
Representante 302,A,"4028",Canal
Representante 303,A,"4029",Canal
Representante 304,A,"21202",Canal
Representante 305,A,"1513",Direto
Representante 306,A,"1748",Canal
Representante 307,A,"1749",Canal
Representante 308,A,"1750",Canal
Representante 309,A,"22541",Canal
Representante 310,A,"24336",Canal
Representante 311,A,"610",Parceiros
Representante 312,A,"26122",Canal
Representante 313,A,"1524",Direto
Representante 314,A,"1525",Direto
Representante 315,A,"1526",Direto
Representante 316,A,"1527",Direto
Representante 317,A,"1528",Direto
Representante 318,A,"1761",Canal
Representante 319,A,"1519",Direto
Representante 320,A,"181202",Canal
Representante 321,A,"21101",Canal
Representante 322,A,"21253",Canal
Representante 323,A,"21803",Canal
Representante 324,I,"21804",Canal
Representante 325,A,"1753",Canal
Representante 326,A,"1754",Canal
Representante 327,A,"1523",Direto
Representante 328,A,"14974",Canal
Representante 329,A,"4001",Canal
Representante 330,A,"4002",Canal
Representante 331,I,"4003",Parceiros
Representante 332,A,"4004",Direto
Representante 333,A,"4005",Direto
Representante 334,A,"4006",Canal
Representante 335,A,"4007",Canal
Representante 336,A,"4008",Canal
Representante 337,A,"4009",Canal
Representante 338,A,"21769",Canal
Representante 339,A,"21776",Direto
Representante 340,A,"21777",Direto
Representante 341,A,"21778",Direto
Representante 342,A,"21862",Canal
Representante 343,A,"21071",Direto
Representante 344,A,"22654",Canal
Representante 345,A,"1756",Canal
Representante 346,A,"1757",Canal
Representante 347,A,"23739",Canal
Representante 348,I,"23737",Canal
Representante 349,A,"24335",Parceiros
Representante 350,A,"24684",Canal
Representante 351,A,"24831",Canal
Representante 352,A,"24880",Parceiros
Representante 353,A,"4010",Canal
Representante 354,A,"4011",Canal
Representante 355,A,"4012",Canal
Representante 356,A,"4013",Canal
Representante 357,A,"4014",Canal
Representante 358,A,"4015",Canal
Representante 359,A,"21144",Canal
Representante 360,A,"21145",Canal
Representante 361,A,"21146",Canal
Representante 362,A,"21147",Canal
Representante 363,A,"21148",Canal
Representante 364,A,"21149",Canal
Representante 365,A,"21150",Canal
Representante 366,A,"21151",Canal
Representante 367,A,"21152",Canal
Representante 368,A,"21153",Canal
Representante 369,A,"21154",Canal
Representante 370,A,"21155",Canal
Representante 371,A,"21156",Canal
Representante 372,A,"21157",Canal
Representante 373,A,"21158",Canal
Representante 374,A,"21159",Canal
Representante 375,A,"1744",Canal
Representante 376,A,"1747",Canal
Representante 377,A,"1745",Canal
Representante 378,A,"1746",Canal
Representante 379,A,"19355",Canal
Representante 380,A,"21894",Canal
Representante 381,A,"22026",Canal
Representante 382,A,"22042",Parceiros
Representante 383,I,"22706",Canal
Representante 384,A,"23840",Canal
Representante 385,A,"21009",Canal
Representante 386,A,"21725",Canal
Representante 387,A,"21762",Canal
Representante 388,A,"1751",Canal
Representante 389,A,"1752",Canal
Representante 390,A,"22036",Canal
Representante 391,A,"22579",Canal
Representante 392,A,"1760",Canal
Representante 393,A,"24776",Canal
Representante 394,A,"24879",Canal
Representante 395,A,"25090",Direto
Representante 396,A,"4016",Canal
Representante 397,A,"4017",Canal
Representante 398,A,"4018",Canal
Representante 399,A,"4019",Canal
Representante 400,A,"4020",Canal
Representante 401,A,"25392",Parceiros
